x,y,class
64,0,subject
93,0,subject
113,0,subject
163,0,subject
285,0,subject
318,0,subject
378,0,subject
400,0,subject
702,0,subject
718,0,subject
869,0,subject
938,0,subject
958,0,subject
975,0,subject
1031,0,subject
1352,0,subject
1381,0,subject
1461,0,subject
1495,0,subject
1516,0,subject
1600,0,subject
1638,0,subject
1677,0,subject
1767,0,subject
1848,0,subject
1877,0,subject
1968,0,subject
2055,0,subject
2113,0,subject
2202,0,subject
2216,0,subject
2359,0,subject
2381,0,subject
2407,0,subject
2486,0,subject
1485,1,subject
1929,2,subject
145,3,subject
2299,4,subject
2324,4,subject
2426,4,subject
191,5,subject
1065,5,subject
1080,5,subject
265,6,subject
248,7,subject
1559,7,subject
1740,7,subject
1825,7,subject
2271,7,subject
1290,8,subject
1417,8,subject
1706,8,subject
1908,8,subject
473,9,subject
1166,9,subject
1398,9,subject
2448,9,subject
223,10,subject
1380,10,subject
100,11,subject
1341,11,subject
741,12,subject
859,12,subject
1359,13,subject
1596,13,subject
2353,13,subject
2483,14,subject
32,16,subject
2402,16,subject
320,17,subject
395,17,subject
1501,17,subject
1793,17,subject
2232,17,subject
1454,18,subject
2465,18,subject
1253,19,subject
1845,19,subject
124,20,subject
924,20,subject
1106,20,subject
1226,20,subject
1676,20,subject
296,22,subject
1043,22,subject
1545,22,subject
874,23,subject
1622,23,subject
2262,23,subject
2341,23,subject
905,24,subject
1766,24,subject
1448,25,subject
853,26,subject
111,27,subject
290,27,subject
2154,27,subject
368,28,subject
2192,29,subject
966,30,subject
1277,30,subject
1530,30,subject
177,31,subject
452,31,subject
840,31,subject
12,32,subject
419,32,subject
888,32,subject
1417,32,subject
2031,32,subject
2113,32,subject
2211,32,subject
293,33,subject
1379,33,subject
501,35,subject
37,36,subject
62,36,subject
768,37,subject
1236,37,subject
1403,37,subject
1991,37,subject
2433,37,subject
1971,38,subject
2416,38,subject
163,39,subject
1065,39,subject
1551,39,subject
1488,40,subject
2313,40,subject
2070,41,subject
695,42,subject
916,42,subject
939,42,subject
247,43,subject
739,43,subject
901,43,subject
2456,43,subject
89,44,subject
847,44,subject
1657,44,subject
2175,44,subject
1033,45,subject
2131,45,subject
138,46,subject
1449,47,subject
123,48,subject
226,48,subject
787,48,subject
1168,48,subject
1513,48,subject
1592,48,subject
2271,48,subject
330,49,subject
1293,50,subject
2059,50,subject
672,51,subject
883,51,subject
1537,51,subject
1581,51,subject
1681,51,subject
1914,51,subject
1947,51,subject
2030,51,subject
2296,51,subject
39,52,subject
1486,52,subject
1883,52,subject
205,53,subject
1314,53,subject
1337,54,subject
1396,54,subject
311,55,subject
2232,56,subject
20,57,subject
758,57,subject
1456,57,subject
188,58,subject
358,60,subject
604,60,subject
1721,60,subject
558,61,subject
917,61,subject
429,62,subject
744,62,subject
1915,62,subject
2145,62,subject
478,63,subject
539,63,subject
1419,63,subject
2010,63,subject
2178,63,subject
246,64,subject
417,64,subject
287,65,subject
1509,65,subject
1708,65,subject
808,66,subject
1638,66,subject
1980,66,subject
1548,67,subject
1673,67,subject
388,68,subject
852,68,subject
1223,68,subject
1957,68,subject
203,69,subject
352,69,subject
1283,69,subject
1692,69,subject
1180,70,subject
1385,70,subject
1418,70,subject
1602,70,subject
61,71,subject
153,71,subject
876,71,subject
126,72,subject
1521,72,subject
1626,72,subject
2247,72,subject
1197,73,subject
1372,73,subject
2163,73,subject
940,74,subject
2071,74,subject
2295,74,subject
272,75,subject
505,75,subject
829,75,subject
1216,77,subject
2038,77,subject
2279,77,subject
54,78,subject
545,78,subject
2137,78,subject
2193,78,subject
2421,78,subject
241,79,subject
476,80,subject
563,80,subject
1334,80,subject
1888,80,subject
2486,80,subject
1170,81,subject
1317,81,subject
1258,82,subject
761,83,subject
1632,83,subject
1878,83,subject
886,84,subject
1826,84,subject
1971,84,subject
2465,84,subject
1722,85,subject
2093,85,subject
260,86,subject
1185,86,subject
1233,86,subject
1509,86,subject
195,87,subject
846,87,subject
1906,87,subject
2053,87,subject
787,88,subject
2403,88,subject
666,89,subject
865,89,subject
2000,89,subject
2451,89,subject
133,90,subject
305,90,subject
581,90,subject
1133,90,subject
1806,90,subject
321,91,subject
2029,91,subject
2438,91,subject
2166,92,subject
400,93,subject
1300,93,subject
1588,93,subject
1756,93,subject
1703,94,subject
612,95,subject
368,96,subject
531,96,subject
639,96,subject
748,97,subject
1835,97,subject
1963,97,subject
158,98,subject
1224,98,subject
1430,98,subject
1792,98,subject
1928,98,subject
2138,98,subject
96,101,subject
512,101,subject
792,101,subject
1895,101,subject
1978,101,subject
1410,102,subject
2069,102,subject
271,103,subject
342,103,subject
1111,103,subject
1661,103,subject
2264,103,subject
2008,104,subject
424,105,subject
1616,105,subject
1809,105,subject
898,106,subject
1337,106,subject
440,107,subject
1953,107,subject
1235,108,subject
1251,108,subject
2051,108,subject
550,109,subject
692,109,subject
877,109,subject
1194,109,subject
1373,109,subject
2489,110,subject
756,111,subject
1281,111,subject
1325,111,subject
1638,111,subject
2280,111,subject
2425,111,subject
129,112,subject
1549,112,subject
1914,112,subject
1595,113,subject
228,115,subject
466,115,subject
811,115,subject
1355,115,subject
1776,115,subject
1819,115,subject
2230,115,subject
288,116,subject
1219,116,subject
648,117,subject
1854,117,subject
2309,117,subject
1304,118,subject
2474,118,subject
567,119,subject
1049,119,subject
1430,119,subject
893,120,subject
1734,120,subject
2208,120,subject
781,121,subject
983,121,subject
2019,121,subject
2050,122,subject
95,123,subject
199,124,subject
521,124,subject
1000,124,subject
1147,124,subject
1261,124,subject
1083,125,subject
1521,125,subject
1897,125,subject
783,126,subject
849,126,subject
1178,126,subject
1985,126,subject
621,127,subject
1391,127,subject
1792,127,subject
1966,128,subject
856,129,subject
1407,129,subject
1866,129,subject
